"cpi","cpi_food","cpi_clothes","cpi_housing","cpi_transport_communication","cpi_medical","cpi_edu_entertain","date"
1.09746046108468,1.9914433525936,0.82824782409272,0.455397234933574,0.460691851351847,1.31092777212745,1.4015858378845,2011-01-01
1.31261981569386,2.66216451191141,2.0686284837744,0.514191786732443,1.39525475494793,1.49309563683628,0.148654702564599,2011-02-01
1.39605874640338,1.84779450874801,2.35828504160542,0.575788246655495,2.51377714947187,1.64137423537323,0.818558458643981,2011-03-01
1.30416851250557,1.83547834266147,2.00114052499867,0.645879730401777,2.29941151544102,1.81713055640955,0.544520857378927,2011-04-01
1.64758363796844,2.74885749049796,2.95367823786696,0.736150150414971,2.00267031577024,1.93808428217892,0.28285704281803,2011-05-01
1.93145527405747,3.29063913779226,2.91554197261501,0.867619503893557,2.58760976440469,2.23957711064111,0.886566355018825,2011-06-01
1.31772766253855,1.65511215917409,2.87180152724593,0.966961628893426,1.64104168919925,2.36279166325088,0.654115315427184,2011-07-01
1.33757714011384,1.58133929243212,2.1469080700677,1.14628715895906,1.3368641474627,2.34996442368836,0.69638164430712,2011-08-01
1.36616891277326,1.85838098729167,1.40987025270087,1.09551937204397,1.69349481494816,1.76817948009669,0.330214939575857,2011-09-01
1.24820633014417,1.01734296372227,7.05339671303049,1.13700475288052,0.768689938568912,1.68882180285221,0.260130211719289,2011-10-01
1.02769674768028,1.09517152033343,3.44861760711694,1.1565473109612,0.36330648498808,1.72747089754512,0.0803132258810457,2011-11-01
2.01077149319966,5.23773384356607,3.30259447574539,0.934445382766569,-0.272548495569591,1.31429030042449,0.150746222205456,2011-12-01
2.32742863472915,4.43324432212924,1.94002408764486,1.20435016515268,-0.943687356622824,1.31389483536619,0.628838724408709,2012-01-01
0.250463488144614,2.09773336801646,1.64783402243351,0.70147596993424,-1.11262612227998,0.963185935392463,-1.42624469205641,2012-02-01
1.24699926424547,3.05205741196888,2.01345431650211,1.05206120411703,-1.7157528123394,0.790755334081883,0.632056280258908,2012-03-01
1.42610245390742,2.09136920612982,5.56377625148397,0.911236466055687,0.128401420179536,0.588501025190968,0.930891062325312,2012-04-01
1.72932156907537,3.70046178119878,2.53345622718921,0.800564667954973,-0.476995836330918,0.438903447713379,1.52170320409946,2012-05-01
1.7481063393789,4.31172901739378,2.05510032781504,1.04702655437867,-1.32067952584558,0.487635936677666,1.2360603944324,2012-06-01
2.42854975796361,6.10392032432028,1.33524136304493,1.13441413831961,0.100421779879323,0.75554589459923,0.865550795678605,2012-07-01
3.3691739456847,8.3365620003395,2.74768588409833,1.24102843647202,1.8736844733338,0.63593219082918,0.907930839750382,2012-08-01
2.91044040908481,6.33809022363003,3.70392830730806,1.41623138125047,2.24706213375239,0.645195548001176,0.805934415526277,2012-09-01
2.30526663386215,4.14821539255668,2.7579365638049,1.36137641870651,2.44837070702051,1.04121125096972,0.934865088125036,2012-10-01
1.57576630594418,2.25099249106284,1.68972043486022,1.28162302662123,1.83656225016779,1.07948560008841,0.560393741143361,2012-11-01
1.59170190833917,1.84809204904024,1.75985071663778,1.3114942077828,2.20931663167052,1.55271872911573,0.520834510713808,2012-12-01
1.10954056914796,2.33518514780409,3.49762428054463,1.04203791108928,2.25400985646553,1.14921019079102,-0.0597193209745939,2013-01-01
2.9187636923945,2.86866799965457,3.64429561507871,1.29968593700251,3.39889046455699,1.53582409426871,3.72677197160582,2013-02-01
1.3500304306814,1.22265376363426,4.1885968757871,1.20865350888719,2.11058108164259,1.68071183163807,0.0599880041984413,2013-03-01
1.04413872173881,2.30166548985586,-2.00366797323079,1.20877326346376,-0.346072427268318,1.36311869616605,0.258706611953308,2013-04-01
0.736271916849773,1.47522320543221,-1.3532769253211,1.19880565817265,0.149305756099416,1.56037137816307,-0.418160704902615,2013-05-01
0.595443215684632,0.46780361219847,-0.31864073694079,0.870719192831704,1.27097032364887,1.47815068143329,-0.208261095752693,2013-06-01
0.0585023417620789,-1.27766802899938,0.730843719580943,0.732961991404846,0.640322347906874,1.24017337526929,0.0978856773538261,2013-07-01
-0.785458583637055,-3.46087664050758,0.0415282397995043,0.605056983979946,-0.584246846834269,1.27941908589504,0.0883782647007614,2013-08-01
0.839570673453505,2.33252080757671,0.0948117005445503,0.506527480813634,-0.571880872342589,1.16074488363402,0.750324381063283,2013-09-01
0.637991530866167,2.88070467747996,-3.72780593830671,0.600247804684706,-1.18684016008563,0.590146298182681,-0.00989951988135118,2013-10-01
0.681665897909767,2.66026006286877,-2.86934889572175,0.757244116076983,-0.953997099148118,0.638226919719997,-0.0499076718448954,2013-11-01
0.340583212498746,1.32889189943421,-2.72778387624264,0.835508865869805,-0.704472824658886,0.411321704190826,-0.280112227971152,2013-12-01
0.826571536415699,0.992399808598776,-1.16879983014142,0.767116271670165,-0.881586612043428,0.657800221798599,0.694516136245227,2014-01-01
-0.0388802493233698,2.55373572818298,-0.642564299724757,0.697414545246033,-2.08710076319898,0.724995827681063,-2.03350442396149,2014-02-01
1.59439969695949,5.519101962037,-1.04908778316446,0.706508679152762,-0.860752284420929,0.615747437335212,-0.0799920050652325,2014-03-01
1.64248796674009,5.02523015561698,1.50879892811648,0.745686343833274,-0.556219153527326,0.791522185880034,0.0993246009347359,2014-04-01
1.61059074759571,4.22604693730992,1.87464483195336,0.755461037160021,-0.0995123975044976,0.518009270526854,0.527390644763504,2014-05-01
1.62181371151133,3.72992716281022,2.19999308018632,1.14286958236232,0.188763654480084,0.60464393300439,0.544528844127701,2014-06-01
